Perfil	ST_0_5_cm	ST_5_15_cm	ST_15_30_cm	ST_30_60_cm	ST_60_100_cm	X	Y	top	pH	COT	Al	Ca	Mg	Na	K	H_Al	P	Valor_S	CTCefetiva	Valor_T	Valor_V	m	SPS	s10ndvi	s10savi	s10b2	s10b3	s10b4	s10b8	s20b2	s20b3	s20b4	s20b5	s20b6	s20b7	s20b8A	s20b11	s20b12	lanb1	lanb2	lanb3	lanb4	lanb5	lanb6	lanb7	lanndvi	dem	hill_shade	aspect	convergence_index	curv_cross_sectional	curv_general	curv_longitudinal	curv_maximal	curv_minimal	curv_profile	curv_tangencial	difference	diurnal_anisotropic_heat	effective_air_flow_heights	gradient	Mass_balance_index	mid_slope_position	MRRTF	MRVBF	normalized_height	saga_wetness_index	slope_degress	slope_height	standardized_height	terrain_ruggedness_index	terrain_surface_classification_iwahashi	terrain_surface_convexity	valley_depth	amb_pedo
V21	1.26	1.27	1.53	2.22	1.83	546231.09	8705647.99	0	4.73	4.71	0.21	0.71	0.51	0.07	0.1	4.47	2.83	1.4	1.61	5.87	23.86	13.28	1.26	0.55	0.82	413.84	720.8	804.64	2729.52	414.44	722.06	811.26	1413.15	2265.97	2566.68	2928.05	3135.26	1886.16	295.28	383.24	694.49	797.99	2733.66	2896.86	1731.96	0.55	270.89	179	217.61	0.42	0	0	0	0	0	0	0	0	0.01	121.54	0.01	0	0.71	1.32	3.02	0.86	9.27	0.65	35.68	256.76	0.07	99	81.96	6.01	5
V22	2.49	2.7	2.99	3.02	2.22	545764.1	8700458.18	0	5.16	2.52	0.14	0.51	0.31	0.07	0.32	1.75	2.56	1.21	1.35	2.96	40.85	10.13	2.49	0.46	0.68	529.96	889.96	1068.56	2817.12	526.82	885.74	1063.62	1635.71	2390.88	2667.17	3025.92	3471.56	2223.97	327.09	435.23	799.62	959.69	2846.93	3180.5	2012.67	0.5	256.76	180.64	37.3	-0.28	0	0	0	0	0	0	0	-0.01	-0.02	138.56	0.03	0	0.04	0.49	2.64	0.48	9.44	1.48	9.48	213.2	0.16	83.92	50.52	10.3	5
V23	1.52	1.83	2.65	2.75	3.58	550889.08	8695930.62	0	5.59	7.58	0	1.73	1.12	0.07	0.24	1.25	15.03	3.17	3.17	4.42	71.65	0	1.67	0.35	0.53	566.6	828.52	1012.12	2111.4	571.51	832.21	1020.31	1387.92	1789.19	1987.36	2283.52	3642.18	2434.38	405.05	505.51	790	949.64	2482.67	3510.51	2285.47	0.45	261.77	180	42.62	0.01	0	0	0	0	0	0	0	-0.01	-0.01	132.25	0.02	0	0.27	4.01	3.26	0.36	10.97	0.34	4.96	205.36	0.04	3	30.55	8.67	6
V24	1.12	1.66	3.16	3.19	2.56	549797.38	8693072.1	0	6.11	5.87	0	2.96	0.92	0.09	0.1	2.03	3.03	4.06	4.06	6.09	66.7	0	1.43	0.4	0.59	628.88	921.24	1186.92	2730.68	623.38	921.35	1194.77	1624.78	2311.34	2567.66	2925.91	3978.74	2619.43	462.12	557.19	826.4	1126.11	2584.06	3932.01	2541.3	0.39	278.33	181	5.74	0	0	0	0	0	0	0	0	0	-0.01	150.88	0.01	0	0.09	3.28	2.79	0.54	9.01	0.58	10.67	230.33	0.06	87.48	31.16	8.94	6
V25	1.13	1.7	3.14	3.7	2.74	551252.51	8691424.47	0	5.53	5.6	0	2.86	0.92	0.07	0.15	1.53	3.1	3.99	3.99	5.52	72.31	0	1.34	0.3	0.44	814.36	1217.36	1637.2	2904.52	784.43	1177.68	1578.09	1965.51	2475.72	2738.44	3055.47	4383.17	3023.96	437.79	557.83	908.49	1220.24	2770.3	3744.46	2452.58	0.4	277.45	178.49	83.74	-0.08	0	0	0	0	0	0	0	0	-0.01	142.07	0.01	-0.01	0.05	2.4	2.4	0.48	9.02	0.75	17.58	222.73	0.08	89.6	20.63	19.37	5
V26	4.01	3.25	2.92	2.63	3.4	553940.67	8687527.58	0	5.14	2.21	0.06	0.41	0.31	0.13	0.04	2.53	1.53	0.89	0.95	3.42	26.05	6.17	3.95	0.5	0.74	560.08	914.2	1041.84	3050.56	559.06	913.76	1041.23	1646.14	2556.32	2899.51	3254.95	3291.32	2109.5	347.96	443.7	798.96	989.73	3014.24	3139.76	1982.79	0.51	270.99	180	28.72	2.28	0	0	0	0	0	0	0	0	-0.02	131.9	0.02	0.01	0.17	2.2	1.98	0.42	9.54	1.03	16.64	213.94	0.11	98	49.99	23.25	5
V27	0.4	2.7	3.45	5.21	6.69	556446.11	8684228.31	0	6.18	15.94	0	6.63	2.35	0.02	0.2	1.2	15.17	9.19	9.19	10.39	88.43	0	0.17	0.71	1.06	295.64	485.6	503.16	2916.88	295.05	485.96	505.71	939.94	2276.12	2787.7	3148.87	2223.18	1126.64	221.54	260.58	430.65	446.99	2900.87	2110.02	1017.37	0.73	264.05	181.91	9.33	-1.45	0	0	0	0	0	0	0	-0.01	-0.02	124.6	0.03	-0.01	0.39	0.52	2.56	0.7	8.2	1.27	11.71	236.41	0.14	98	43.43	5.11	5
V3	3.28	4.19	6.1	5.1	8.05	531049	8741927	0	4.94	1.95	0.24	0.1	0.31	0.12	0.05	2.58	1.88	0.58	0.82	3.15	18.28	29.71	3.72	0.28	0.42	1051.72	1580.64	2035.2	3556.8	1005.03	1523.58	1936.95	2443.01	3074.42	3376.95	3753.08	4686.28	3650.42	485.04	641.08	1123.24	1475.34	3194.99	3872.91	2850.96	0.37	323.16	180.57	220.57	-1.54	0	0	0	0	0	0	0	0.04	0.05	145.46	0.01	-0.01	0.62	0.35	1.43	0.19	9.41	2.72	3.46	201.9	0.3	91.88	44.74	14.92	2
V4	1.36	1.7	2.68	5.12	7.46	537058.8	8741861.01	0	5.73	10.34	0.05	2.04	1.73	0.14	0.13	6.53	4.6	4.05	4.1	10.58	38.28	1.19	1.36	0.19	0.28	872.12	1189.52	1781.52	2600.8	879.67	1198.52	1796.86	2120.68	2336.83	2500.87	2768.24	4777.06	3846.29	556.19	662.91	998.7	1467.2	2507.74	4156.21	3264.15	0.26	352.39	177.06	109.54	2.4	0	0	0	0	0	0	0	0	0	155.65	0.02	0.01	0.69	1.46	2.77	0.16	10.56	0.82	11.74	201.29	0.09	66	63	62.86	5
V5	4.84	5.37	6.86	9.49	8.66	529313	8739467	0	4.93	1.24	0.24	0.2	0	0.11	0.06	1.89	2.15	0.38	0.62	2.27	16.69	39.16	4.98	0.24	0.36	1263.64	1837.04	2260.64	3622.24	1228.49	1782.82	2195.77	2688.63	3160.41	3429.13	3808.19	5108.08	3927.11	649.39	847.07	1421.05	1789.12	3426.71	4473.86	3294.83	0.32	326.69	170.96	143.14	-3.33	0	0	0	0	0	0	0	0.04	0.02	155.38	0.01	-0.03	0.61	0.37	1.59	0.2	9.5	2.87	3.88	203.3	0.32	65.04	32.76	16.14	4
V6	4.03	4.91	6.87	8.85	11.98	531824	8738362	0	5.67	2.19	0.05	0.41	0.31	0.13	0.09	2.23	2.63	0.94	0.99	3.18	29.7	4.91	4.24	0.29	0.43	793.28	1283.28	1696.8	3052.16	784.88	1262.72	1667.82	2138.39	2595.17	2844.96	3257.8	4784.46	3681.99	527.46	652.32	1087.54	1423.58	2884.36	4207.46	3124.11	0.34	295.04	178.23	155.72	16.89	0	0	0	0	0	0	0	-0.01	0	138.24	0.01	0.01	0.37	2.73	0.84	0.32	11.59	0.09	5.53	211.63	0.01	51	56.13	11.96	3
V9	3.16	3.84	5.43	6.32	6.31	531971.92	8733407.45	0	6.59	2.48	0	0.71	0.82	0.12	0.13	1.72	5.83	1.78	1.78	3.49	50.82	0	3.36	0.43	0.65	757.6	1182.32	1292.8	3267.44	747.79	1175.25	1282.41	1899.37	2807.06	3103.57	3465.83	4072.63	2898.19	435.38	551.73	961.21	1091.86	3091.91	3564.13	2414.95	0.48	317.91	177.85	198.79	2.24	0	0	0	0	0	0	0	0.02	0.04	157.36	0.02	0.02	0.46	0.77	1.02	0.27	9.03	2.55	6.35	212.23	0.28	93.16	51.77	17.34	4
