Perfil	ST_0_5_cm	ST_5_15_cm	ST_15_30_cm	ST_30_60_cm	ST_60_100_cm	X	Y	top	pH	COT	Al	Ca	Mg	Na	K	H_Al	P	Valor_S	CTCefetiva	Valor_T	Valor_V	m	SPS	s10ndvi	s10savi	s10b2	s10b3	s10b4	s10b8	s20b2	s20b3	s20b4	s20b5	s20b6	s20b7	s20b8A	s20b11	s20b12	lanb1	lanb2	lanb3	lanb4	lanb5	lanb6	lanb7	lanndvi	dem	hill_shade	aspect	convergence_index	curv_cross_sectional	curv_general	curv_longitudinal	curv_maximal	curv_minimal	curv_profile	curv_tangencial	difference	diurnal_anisotropic_heat	effective_air_flow_heights	gradient	Mass_balance_index	mid_slope_position	MRRTF	MRVBF	normalized_height	saga_wetness_index	slope_degress	slope_height	standardized_height	terrain_ruggedness_index	terrain_surface_classification_iwahashi	terrain_surface_convexity	valley_depth	amb_pedo
PE1005	3.78	3.36	5.1	12.22	27.24	543314.36	8717070.51	0	4.67	11.46	0.24	1.73	6.12	0.73	0.36	10.14	3.58	8.94	9.19	19.08	46.87	2.65	3.81	0.36	0.54	598.76	1009.52	1248.96	2584	582.1	982.56	1204.54	1684.46	2246.78	2464.7	2711.99	3628.2	2333.94	210.46	350.7	777.82	958.24	2500.81	3015.98	1851.5	0.45	260.23	152.41	131.5	0.78	0	0	0	0	0	0	0	-0.02	0.04	106.62	0.15	0.03	0.3	0.16	0.29	0.56	5.62	7.5	5.89	222.44	0.85	113	54.14	4.76	3
T0001	0.89	0.9	0.92	1.18	2.62	546812.96	8716257.23	0	4.6	4.29	0.93	0.41	0	0.05	0.08	4.74	1.98	0.54	1.46	5.28	10.15	63.37	0.91	0.33	0.49	931.16	1369.04	1699.28	3297.2	911.03	1345.45	1667.83	2258.72	2837.59	3114.03	3443.85	4606.2	3137.65	287.25	452.39	879.97	1077.09	2853.38	3561.93	2272.73	0.45	299.81	188.7	284.48	7.45	0	0	0	0	0	0	0	-0.08	-0.05	177.15	0.15	0.12	0.93	1.07	0.43	0.96	6.41	3.55	55.78	295.24	0.41	113.36	76.97	2.08	3
T0002	0.63	1.49	2.41	2.55	2.71	535149.64	8732420.53	0	4.77	7.51	0.39	6.12	3.26	0.1	0.36	13.71	17.73	9.84	10.23	23.55	41.78	3.81	0.42	0.45	0.68	657.68	1037.64	1142.28	2975.52	629.8	1006.93	1095.95	1644.96	2502.08	2787.53	3158.39	3497.6	2292.58	250.98	368.79	749.61	845	2787.21	2974.67	1822.64	0.54	280.62	182.96	159.22	-16.24	0	-0.01	-0.01	0	-0.01	0	0	0.01	-0.05	136.35	0.06	-0.28	0.77	0.08	1.62	0.12	7.3	3.8	2.91	185.49	0.46	66.36	21.38	24.31	2
T0003	3.82	3.99	4.5	3.17	5.47	534994.7	8732579.49	0	6.38	2.2	0.05	2.24	0.61	0.15	0.19	0.51	1.29	3.2	3.25	3.71	86.3	1.5	3.99	0.36	0.54	629.84	950.88	1182.2	2510.96	641.64	969.64	1202.58	1643.55	2132.16	2361.74	2703.78	4035.39	2925.79	406.92	490.85	782.11	995.89	2356.39	3536.73	2521.53	0.41	267.98	187.88	314.15	-14.08	0	0	0	0	0	0	0	0.02	0	115.33	0	-0.1	0.96	0.13	2.6	0.02	10.99	1.12	1.53	175.02	0.14	46.48	3.8	73.02	2
T0004	2.64	3.27	3.96	2.09	1.47	534804.7	8732607.34	0	6	17.87	0.05	6.02	2.24	0.35	1.08	3.05	8.4	9.68	9.73	12.73	76.07	0.5	2.73	0.34	0.52	755	1099.56	1301.6	2660.32	742.82	1082.75	1286.66	1717.59	2256.64	2486.9	2810.2	3931.48	2754.9	406.34	506.58	818.65	975.12	2518.72	3376.7	2220.13	0.44	267.84	177.85	19.97	1.13	0	0	0	0	0	0	0	0	0	111.99	0	0	0.96	0.86	3.99	0.02	12.34	0.11	1.61	174.83	0.01	19	9.74	84.4	2
T0006	4.31	3.82	2.39	8.61	8.88	544696.74	8718525.49	0	4.77	4.63	0.83	0.92	0.82	0.35	0.56	6.43	1.7	2.65	3.47	9.08	29.14	23.85	3.83	0.43	0.64	584.12	1027.16	1100	2751.28	614.89	1065.93	1170.02	1776.55	2463.86	2675.23	2906.79	3960.36	2712.04	360.5	480.67	906.7	1057.39	2581.16	3380.19	2215.73	0.42	307.04	180.51	196.36	33.4	0.01	0.01	0	0	0	0	0	-0.14	0	150.76	0.21	0.35	0.95	2	0.09	0.97	5.32	4.06	42.62	303.42	0.49	113.04	90.75	1.17	3
T0009	4.96	5	5.17	6.31	8.93	546486.55	8716937.23	0	6.66	3.86	0	3.06	1.12	0.3	1	0.51	72.29	5.49	5.49	5.99	91.53	0	5.08	0.3	0.45	824.64	1268	1651.12	3075.44	808.1	1248.61	1636.74	2185.99	2651.83	2914.13	3253.96	4750.66	3551.27	432.44	552.56	938.15	1094.37	3102.89	3484.6	2440.94	0.48	228.47	192.25	329.28	3.75	0	0	0	0	0	0	0	0.05	-0.04	90.07	0.02	0.12	0.29	0.68	0.54	0.35	9.05	4.16	6.42	192.66	0.47	110.56	73.31	11.72	3
T0010	7.24	13.8	18.24	4.04	NA	546597.27	8716773.29	0	5.89	7.59	0.05	4.08	5.1	1.43	1.21	2.71	1.98	11.82	11.87	14.53	81.35	0.41	9.88	0.3	0.45	800.8	1251.6	1610.72	2964	808.64	1258.84	1625.22	2128.89	2587.32	2819.7	3147.27	4722.35	3667.81	479.74	607.81	990.78	1233.21	2867.54	3833.02	2857.85	0.4	237.81	190.96	326.59	11.15	0	0	0	0	0	0	0	0.01	-0.04	105.39	0.07	0.17	0.62	0.94	0.29	0.81	6.5	4.43	12.52	225.45	0.5	113	87.73	2.92	3
T0011	4.81	5.23	6.72	8.11	8.3	546314.62	8716370.15	0	5.02	4.38	0.05	1.33	2.55	0.38	0.51	2.54	7.44	4.76	4.81	7.3	65.22	1.01	5.24	0.32	0.47	595.76	924.28	1244.88	2376.56	592.9	926.69	1239.17	1683.33	2032.8	2235	2559.4	4078.2	2941.76	461.45	590.93	977.31	1269.91	2737.3	3837.44	2768.6	0.37	236.71	188.29	284	-8.32	0	0	0	0	0	0	0	0.02	-0.02	100.72	0.03	-0.07	0.9	0.28	1.45	0.05	8.26	3.35	1.88	176.38	0.39	113.04	50.2	36.14	2
T0015	4.13	4.26	4.33	NA	NA	546883.03	8718646.18	0	5.85	8.31	0	2.24	1.53	0.3	0.92	2.37	11.31	5	5	7.37	67.84	0	4.13	0.48	0.72	560.6	948.8	1060.96	2903.28	554.85	941.55	1050.47	1637.01	2464.6	2743.25	3064.18	3648.67	2280.49	355.58	465.02	843.19	937.28	2987.47	3132.59	1867.97	0.53	293.23	168.38	171.96	16.34	0.01	0.01	0	0	0	0	0	-0.08	0.07	139.7	0.17	0.31	0.92	0.96	0.19	0.96	5.71	5.23	37.88	288.54	0.6	113.08	99.43	1.54	3
