Perfil	ST_0_5_cm	ST_5_15_cm	ST_15_30_cm	ST_30_60_cm	ST_60_100_cm	X	Y	top	pH	COT	Al	Ca	Mg	Na	K	H_Al	P	Valor_S	CTCefetiva	Valor_T	Valor_V	m	SPS	s10ndvi	s10savi	s10b2	s10b3	s10b4	s10b8	s20b2	s20b3	s20b4	s20b5	s20b6	s20b7	s20b8A	s20b11	s20b12	lanb1	lanb2	lanb3	lanb4	lanb5	lanb6	lanb7	lanndvi	dem	hill_shade	aspect	convergence_index	curv_cross_sectional	curv_general	curv_longitudinal	curv_maximal	curv_minimal	curv_profile	curv_tangencial	difference	diurnal_anisotropic_heat	effective_air_flow_heights	gradient	Mass_balance_index	mid_slope_position	MRRTF	MRVBF	normalized_height	saga_wetness_index	slope_degress	slope_height	standardized_height	terrain_ruggedness_index	terrain_surface_classification_iwahashi	terrain_surface_convexity	valley_depth	amb_pedo
T0026	1.14	1.14	1.14	NA	NA	544140.26	8717749.97	0	5.21	7.89	0.05	2.24	8.46	0.2	0.14	6.09	1.35	11.04	11.09	17.14	64.44	0.44	1.14	0.34	0.51	593.16	930.84	1202.76	2408.88	585.31	922.72	1189.09	1621.72	2076.31	2296.74	2598.78	3876.7	2871.56	477.82	575.01	905.36	1161.65	2503.85	3544.15	2624.41	0.37	244.95	173.86	101.94	-21.16	-0.01	-0.02	-0.01	0	-0.01	-0.01	0	0.09	-0.03	95.46	0.04	-0.31	0.75	0.02	0.81	0.13	7.37	7.44	1.42	182.32	0.91	113.16	34.95	11.5	2
T0027	2.25	3.26	6.97	12.98	14.96	543659.14	8717946.41	0	4.6	7.38	1.71	2.24	10.61	0.74	0.24	9.31	3.5	13.83	15.53	23.14	59.76	10.98	3.21	0.27	0.41	623.2	1030.56	1460.32	2424.24	585.72	981.74	1368.59	1791.35	2241.3	2370.84	2471.33	3703.06	2489.79	312.22	418.59	758	1025.38	2124.53	2984.36	1934.69	0.35	281.02	158.85	130.86	22.28	0.01	0.01	0	0.01	0	0	0.01	0.03	0.05	125.52	0.11	0.13	0.86	0.5	0.15	0.93	4.64	7.9	20.82	273.31	0.95	113	54.93	1.58	3
T0028	1.2	1.19	1.22	2.4	2.18	543989.3	8719332.54	0	6.54	2.88	0.05	1.43	1.33	0.08	1.21	2.54	2.79	4.04	4.09	6.58	61.38	1.19	1.19	0.28	0.42	705.84	1119.68	1545.76	2730.56	697.98	1108.83	1528.56	1966.78	2358.79	2587.09	2931.15	4655.35	3514.26	464.48	571.15	905.51	1213.56	2514.27	3849.76	2812.27	0.35	259.63	175.29	224	9.37	0	0.01	0	0	0	0	0	-0.07	0.06	106.57	0.14	0.18	0.65	1.29	0.39	0.82	6.88	3.75	14.17	244.31	0.44	108.44	76.79	3.06	4
T0029	8.07	6.66	2.15	1.21	NA	544093.01	8719215.55	0	7.01	4.69	0.05	2.45	11.22	1.17	0.69	2.2	6.68	15.53	15.58	17.73	87.59	0.31	6.62	0.33	0.49	590.32	917.12	1200.2	2370.56	598.2	922.12	1215.59	1627.25	1993.21	2218.17	2557.44	4161.02	3027.96	409.32	507.55	782.14	1001.81	2229.44	3484.43	2471.67	0.38	244.57	167.2	217.05	-20.58	0	-0.02	-0.02	0	-0.01	-0.01	0	0.13	0.12	94.34	0.01	-0.38	0.82	0.03	1.02	0.09	8.56	8.31	1.89	179.8	1.02	81.12	20.29	28.23	2
T0030	1.65	1.65	NA	NA	NA	543653.12	8718278.33	0	5.49	10.18	0.29	1.02	7.24	0.29	0.79	8.3	1.84	9.35	9.64	17.64	52.98	3.03	1.65	0.41	0.61	503.88	825.68	997.4	2348.96	503.61	827.09	1004.78	1464.61	1991.92	2199.92	2498.74	3513.59	2484.54	311.56	382.89	649.65	754.71	2135.97	2691.83	1784.09	0.48	265.1	189.53	285.53	1.78	0	0	0	0	0	0	0	-0.01	0.01	111.04	0.09	0.04	0.27	0.37	0.52	0.37	5.76	4.6	4.09	206.79	0.51	107.88	52.26	7.03	3
T0031	3.68	3.58	3.13	2.11	4.77	543613.68	8718279.39	0	5.6	8.47	0.15	2.24	8.57	0.71	0.65	7.62	1.02	12.16	12.31	19.78	61.49	1.19	3.58	0.53	0.8	356.16	656.12	698.72	2280.16	371.36	673.39	735.58	1232.48	1931.08	2169.15	2446.59	3135.27	2103.87	318.11	384.29	647.71	730.82	2192.54	2663.51	1749.88	0.5	261.45	191.6	298.38	-10.31	0	0	0	0	0	0	0	0.02	-0.02	107.8	0.05	-0.07	0.52	0.14	1.34	0.24	6.38	3.96	2.48	194.14	0.44	93.8	30.26	8	2
T0032	1.36	1.11	0.65	7.02	NA	544456.53	8715338.86	0	5.76	3.02	0.1	1.22	1.02	0.07	0.46	3.95	1.09	2.77	2.87	6.73	41.24	3.39	1.1	0.36	0.54	681.4	1087.52	1348.08	2863.84	674.04	1073.7	1324.93	1828.87	2463.23	2706.64	3024.74	4335.92	3153.51	387.01	515.51	888.78	1091.19	2591.19	3478.72	2441.22	0.41	224.63	191.19	315.85	-1.19	0	0	0	0	0	0	0	-0.03	-0.03	84.35	0.1	0.08	0.31	0.35	0.85	0.65	7.74	3.99	10.1	206.83	0.45	113	66.97	5.36	4
T0033	1.79	1.09	0.08	11.91	2.54	544427.7	8715438.95	0	6.6	2.06	0.05	1.53	0.82	0.06	0.49	2.23	3.48	2.89	2.94	5.12	56.4	1.66	1.1	0.43	0.65	489.84	855.8	1012.52	2547.84	489.2	855.16	1013.84	1537.77	2177.3	2416.96	2732	3845.07	2655.99	335.04	439.51	762.31	878.75	2444.18	3098.5	2036.54	0.47	214.28	190.06	316.83	-1.53	0	0	0	0	0	0	0	0.05	-0.02	75.79	0	-0.08	0.82	0.33	1.23	0.09	10.38	3.09	2.39	176.8	0.34	81	30.9	26.03	4
T0034	0	0.55	7.94	17.6	3.72	535009.4	8717277.88	0	5.4	4.32	0.29	0.92	0.1	0.11	0.38	4.47	0.48	1.51	1.8	5.97	25.2	16.26	1.82	0.46	0.69	599.44	904.44	997.08	2641.52	601.56	900.87	989.36	1501.83	2235.39	2492.66	2822.53	3026.62	1893.74	215.22	320.47	626.68	715.21	2428.45	2408.56	1484.54	0.55	367.99	175.85	57.97	0.9	0	0	0	0	0	0	0	0.03	-0.05	183.06	0.03	0.02	0.54	0.32	0.7	0.23	7.23	3.73	3.53	217.64	0.41	65	56.76	11.91	5
T0035	0.43	0.5	0.75	1.18	1.16	535014.89	8717243.4	0	5.52	5.57	0.15	2.14	0.61	0.06	0.5	7.73	1.57	3.32	3.46	11.05	30.02	4.22	0.55	0.52	0.77	553.56	819.56	844.96	2611.68	550.16	819.55	846.41	1373.78	2179.09	2456.23	2784.28	2849.74	1706.77	200.51	292.64	585.57	647.78	2374.9	2299.06	1377.64	0.57	369.49	175.75	67.35	1.56	0	0	0	0	0	0	0	0.02	-0.04	184.27	0.04	0.03	0.4	0.43	0.7	0.3	7.5	3.32	5.01	232.16	0.37	75.24	65.49	11.64	5
T0036	1.04	1.09	1.3	1.9	2.77	535227.82	8717455.7	0	5.2	7.96	0.24	2.24	1.33	0.12	0.11	6.6	4.91	3.8	4.04	10.4	36.53	6.03	1.13	0.49	0.74	555.56	847.84	937.76	2716.96	548.4	841.47	923.89	1467.03	2272.1	2551.73	2905.99	3021	1826.09	266.78	344.46	622.5	727.05	2457.22	2422.11	1476.36	0.54	359.26	169.2	88.64	-8.39	0	0	0	0	0	0	0	0.03	-0.02	176.32	0.02	-0.06	0.63	0.22	1.52	0.18	8.53	3.24	3.42	207.39	0.36	97.04	55.16	15.24	5
T0037	1.15	1.1	1.07	1.45	1.82	534388.98	8722624.32	0	5.89	4.96	0.05	0.41	2.65	0.08	0.09	3.61	3.48	3.23	3.28	6.84	47.21	1.49	1.14	0.28	0.43	659.88	957.2	1265.12	2271.6	657.4	964.83	1267.48	1655.73	2008.79	2177.05	2443.74	3846.44	2775.67	416.39	496.94	780.8	1041.93	2145.77	3492.17	2433.73	0.35	360.53	179.08	112.51	0	0	0	0	0	0	0	0	0	0	184.91	0	0	0.71	5.97	2.38	0.85	11.55	0.11	12.27	333.11	0.01	3	0.37	2.1	6
T0038	1.53	1.46	1.45	1.94	NA	534245.9	8722622.11	0	5.52	2.31	0.05	0.92	0.1	0.06	0.07	2.58	2.86	1.15	1.2	3.73	30.82	4.07	1.52	0.3	0.44	588.4	861.12	1142.48	2096	586.37	853.91	1135.35	1468.28	1804.03	1968.06	2230.94	3763.23	2690.35	401.61	466.71	719.56	940.35	2035.22	3370.34	2307.11	0.37	360.53	179	247.49	0	0	0	0	0	0	0	0	0	0	184.93	0.01	0	0.69	5.96	2.42	0.84	11.61	0.11	12.28	331.29	0.01	3	0.37	2.27	6
T0039	1.08	1.04	1	1.17	NA	534373.9	8722311.22	0	5.37	4.24	0.05	1.53	0.51	0.06	0.07	3.09	3.68	2.17	2.22	5.26	41.24	2.2	1.07	0.28	0.41	722.72	1069.04	1342.96	2369.04	726	1069.47	1345.09	1748.65	2123.78	2303.38	2533.97	3985.09	2918.19	463.31	551.48	871	1119.96	2279.14	3569.14	2526.75	0.34	361.97	180	23.81	3.9	0	0	0	0	0	0	0	0	-0.01	186.48	0.01	0.01	0.68	5.97	0.97	0.84	9.98	0.59	7.64	331.94	0.07	96.44	58.43	1.44	6
T0040	1.57	1.57	1.58	1.57	NA	534647.08	8722468.57	0	5.69	2.06	0.05	1.22	0.2	0.06	0.06	2.06	1.16	1.54	1.59	3.6	42.76	3.07	1.57	0.31	0.46	717.56	1063.36	1393.68	2600.72	706.83	1053.39	1370.29	1800.67	2253.18	2444.35	2727.8	3921.5	2845.65	434.38	528.39	850.44	1114.49	2340.82	3505.72	2480.64	0.36	360.22	179.69	51.68	8.14	0	0	0	0	0	0	0	0	0	184.67	0	0.01	0.71	5.95	3.75	0.85	10.64	0.33	10.32	333	0.04	38.84	58.21	1.76	6
T0041	1.48	1.53	1.72	2.1	NA	535120.31	8723903.17	0	5.21	2.18	0.15	0.82	0.2	0.05	0.02	2.41	1.3	1.09	1.24	3.5	31.28	11.78	1.49	0.33	0.5	756.44	1134.92	1471.72	2827.44	704.66	1065.45	1356.89	1850.13	2468.99	2690.96	2970.21	3721.03	2600.63	327.79	432.94	786.02	1010.78	2614.1	3129.9	2043.49	0.45	355.25	179	123.48	-1.04	0	0	0	0	0	0	0	0	0	180.47	0.01	-0.01	0.39	5.67	3.71	0.69	10.54	0.31	6.46	299.45	0.04	60.6	31.32	2.85	6
T0042	1.1	1.01	0.88	NA	NA	534822.24	8721955.53	0	5.1	2.77	0.24	0.82	0.41	0.05	0.07	3.09	1.7	1.35	1.59	4.44	30.32	15.33	1.08	0.3	0.45	664.68	982.2	1280.96	2382.08	651.32	966.91	1260.41	1639.57	2013.51	2220.46	2551.88	3887.48	2720.26	394.44	469.43	743.15	964.6	2213.36	3291.66	2176.17	0.39	360.21	179	91.32	0.38	0	0	0	0	0	0	0	0	0	184.66	0	-0.01	0.63	5.96	2.79	0.81	10.55	0.41	11.2	325.13	0.05	86.2	42.01	2.58	6
T0043	2.45	1.75	0.95	1.78	NA	536579.19	8727397.26	0	5.34	2.95	0.29	0.71	0.1	0.1	0.09	3.09	1.08	1	1.3	4.1	24.5	22.56	2.33	0.33	0.49	638.36	997.36	1339.88	2600.16	627.12	979.85	1308.58	1754.8	2271	2481.85	2733.59	3771.83	2718.56	397.68	475.01	821.66	1099.34	2526.9	3348.78	2372.33	0.4	361.57	179.08	182.69	14.21	0	0	0	0	0	0	0	0	0.01	192.18	0.01	0.03	0.93	6.78	0.46	0.96	9.61	0.51	28.39	354.56	0.06	96.44	69.21	1.09	6
T0044	0.77	0.75	0.69	0.79	1.13	533183.38	8727692.17	0	4.57	3.13	0.93	0.41	0	0.04	0.09	4.64	1.49	0.54	1.46	5.18	10.37	63.3	0.76	0.21	0.32	1136.36	1648.44	2204	3348.4	1114.48	1613.78	2158.22	2613.7	2952.49	3176.93	3486.33	5109.2	3675.04	615	782.67	1255.22	1709.61	3065.93	4537.12	3198.02	0.29	331.99	181.39	22.51	0	0	0	0	0	0	0	0	0	0	153.87	0	0	0.71	0.99	5.99	0.15	12.8	0.11	6.7	196.36	0.01	3	0	39.01	5
T0045	0.94	0.98	1.03	1	1.32	534135.46	8727415.05	0	5.04	5.69	0.24	0.71	0.2	0.03	0.08	2.58	2.87	1.03	1.27	3.61	28.54	19.14	0.96	0.34	0.51	698.76	1027.6	1285.28	2597.44	699.88	1027.49	1279.81	1730.56	2201.71	2420.79	2740.49	3993.01	2789.92	410.95	518.06	837.1	1060.49	2473.37	3500.07	2398.11	0.4	335.59	181.99	268.95	-0.43	0	0	0	0	0	0	0	0	0	162.13	0	0	0.62	1.16	3.63	0.19	11.43	0.4	3.7	204.24	0.04	91.32	37.62	15.62	5
T0046	1.22	1.23	1.25	1.28	NA	535584.05	8730700.03	0	4.87	4.64	0.44	0.71	0	0.04	0.05	2.75	0.87	0.81	1.24	3.56	22.67	35.24	1.22	0.27	0.41	745.08	1251.76	1721.52	2955.2	719.65	1208.15	1656.12	2130.72	2634.97	2834.56	3068.88	3929.95	2730.27	327.56	439.52	893.61	1250.44	2701.25	3378.79	2224.05	0.37	349.71	186	319.18	-1.21	0	0	0	0	0	0	0	-0.04	-0.04	200.92	0.08	0.09	0.23	0.53	1.7	0.61	9.79	2.57	10.41	280.41	0.3	94.48	58.37	6.57	3
T0050	2.81	2.57	1.72	1.45	NA	531625.78	8726614.82	0	4.74	4.46	0.44	0.41	0	0.05	0.03	1.55	1.5	0.49	0.93	2.03	24	47.32	2.56	0.34	0.51	978.2	1343.92	1599.52	3227.68	972.88	1333.28	1590.14	2164.77	2737.93	2990.79	3448.97	4321.35	2892.36	431.67	605.02	1008.43	1241.33	3067.46	3707.92	2334.35	0.42	334.94	179	22.51	0	0	0	0	0	0	0	0	0	0	157.99	0	0	0.81	5.93	5.99	0.09	12.41	0.11	3.69	188.4	0.01	3	0	35.3	6
T1001	2.68	3.52	5.55	4.73	3.06	546374.98	8718219.27	0	5.07	9.46	0.68	1.02	1.63	0.31	0.56	6.53	1.23	3.52	4.21	10.05	35.05	16.22	3.11	0.39	0.59	492.56	828.04	1056.28	2389.44	487.51	820.16	1053.04	1499.7	1996.85	2220.42	2535.97	3832.29	2688.58	481.29	567.32	903.07	1107.59	2806.69	3851.26	2697.27	0.43	272.85	130.85	134.5	7.36	0.01	0.01	0.01	0.01	0	0	0	0.02	0.11	123.52	0.24	0.28	0.12	0.01	0.01	0.53	4.99	14.86	19.42	226.17	1.72	113	59.67	16.74	3
T1002	5.62	6.76	11.31	17.64	18.64	546420.84	8718101.75	0	6.56	13.52	0.05	5.61	10.4	1.7	0.44	3.26	3.61	18.14	18.19	21.41	84.75	0.27	7.92	0.28	0.42	678.76	985.4	1354.96	2391.76	670	977.35	1349.52	1721.94	2040.53	2253.05	2591.38	4323.86	3153.29	442.36	540.84	868.53	1006.69	2856.16	3442.7	2350.8	0.48	255.71	180.62	213.56	-1.2	0	0	0	0	0	0	0	0	0.07	109.14	0.07	-0.06	0.22	0.39	0.83	0.4	5.91	4.16	8.98	206.03	0.48	81.12	38.41	13.7	2
T1003	0.55	0.68	1.17	2.91	4.51	546429.04	8717913.47	0	6.48	7.74	0.05	2.75	1.73	0.11	0.87	2.92	5.52	5.47	5.52	8.39	65.18	0.88	1.3	0.31	0.47	635.04	948.68	1224.88	2348	638.5	950.84	1229.26	1639.09	1974.7	2184.74	2518.45	4255.91	3009.51	489.82	602.84	936.31	1134.36	2753.8	3850.29	2720.91	0.42	240.87	170	175.43	-1.71	0	0	0	0	0	0	0	0	0.06	97.99	0.07	0.03	0.81	0.32	0.65	0.1	6.76	4.07	3.83	179.62	0.46	96.36	53.44	37.11	2
T1004	1.14	1.26	1.63	2.11	1.91	538634.47	8746235.48	0	4.72	4.27	0.78	0.31	0.1	0.08	0.02	6.01	0.95	0.51	1.29	6.52	7.77	60.61	1.2	0.47	0.71	486.56	728.4	907.84	2528.96	497.19	743.43	931.2	1377.51	2112.23	2396.4	2690.35	3242.6	2111.99	227.94	313.54	564.29	713.59	2356.39	2680.37	1628.64	0.54	348.41	177.01	102.68	-0.06	0	0	0	0	0	0	0	0	0	157.9	0.01	0	0.3	0.71	3.4	0.35	9.89	0.77	23.22	234.78	0.09	98	39.72	42.83	5
T1005	1.63	1.51	1.38	1.63	2.85	539104.92	8747415.54	0	5.21	4.72	0.58	0.31	0	0.06	0.03	3.09	0.95	0.39	0.97	3.48	11.15	60.11	1.62	0.5	0.75	420.2	653	808.44	2401.2	420.51	653.22	806.51	1233.14	1970.6	2257.49	2590.64	3147.77	1973.19	235.27	322.54	583.55	741.56	2367.02	2730.98	1698.43	0.52	350.91	177.3	126.55	0.16	0	0	0	0	0	0	0	0	0	169.64	0.02	0	0.36	1.4	2.62	0.68	9.6	0.74	20.61	293.82	0.08	72.52	29.29	9.75	5
T1006	1.29	1.36	1.58	1.88	2.1	539079.72	8743473.33	0	5.33	5.06	0.15	1.02	0.2	0.06	0.05	2.92	1.77	1.33	1.48	4.25	31.27	9.91	1.33	0.4	0.6	500.4	754.04	1025.4	2390.8	501.96	760.78	1031.47	1424.78	1954.87	2237.9	2575.74	3550.64	2318.09	294.13	380.7	642.4	858.35	2332.18	3013.19	1898.15	0.46	327.27	178	88.59	0.65	0	0	0	0	0	0	0	0	-0.01	140.55	0.02	0	0.36	2.19	2.07	0.32	9.12	0.96	25.49	222.68	0.11	98	81.91	53.72	5
T1007	1.15	1.19	1.26	1.1	4	536273.28	8747689.07	0	4.87	4.83	0.73	0.1	0.31	0.05	0.03	3.95	1.57	0.49	1.22	4.44	11.05	59.83	1.17	0.47	0.71	505.16	756.28	1003.16	2714.32	518.98	771.92	1020.79	1431.49	2212.7	2524.55	2871.32	3265.23	2210.28	217.15	304.71	537.53	695.2	2461.49	2545.82	1475.33	0.56	367.26	184.31	24.69	-3.19	0	0	0	0	0	0	0	0.02	-0.08	173.17	0.06	-0.06	0.62	0.23	0.62	0.19	8.85	4.7	5.4	209.67	0.52	81	10.75	23.42	3
T1009	4.86	2.72	1.57	NA	NA	543121.27	8717800.21	0	5.2	5.41	0.68	0.51	3.26	0.5	0.33	5.33	1.91	4.6	5.28	9.93	46.33	12.92	5.04	0.42	0.63	566.76	956.16	1129.4	2769.04	559.39	950.5	1129.25	1664.7	2357.4	2634.19	2901.83	3847.9	2634.63	342.04	433.85	814.4	1002.7	2433.87	3230.41	2132.22	0.42	255.9	177.13	44.57	0.59	0	0	0	0	0	0	0	0.02	-0.15	101.95	0.15	0.06	0.26	0.05	0.09	0.53	5.69	9.19	6.35	216.98	1.02	113	73.29	5.78	3
T1010	1.4	1.29	1.57	2.45	NA	543152.37	8717828.46	0	6.15	5.94	0.05	1.02	1.63	0.07	0.09	2.23	2.04	2.82	2.86	5.05	55.76	1.7	1.38	0.4	0.59	618.6	1030.12	1243	2869.76	613.53	1023.24	1239.16	1775.23	2473.43	2735.71	3011.89	3999.08	2819.35	359.77	468.88	856.45	1053.23	2585.91	3354.09	2305.24	0.42	249.93	179.9	48.74	-11.55	0	-0.01	-0.01	0	0	0	0	0.1	-0.14	97.42	0.06	-0.23	0.69	0.01	0.42	0.16	6.44	9.17	2.19	185.18	1.05	109.2	19.39	12.32	2
T1011	4.45	3.89	1.96	0.92	1.77	544814.53	8719625.82	0	7	12.03	0.05	6.73	8.46	0.73	0.12	2.58	37.42	16.04	16.09	18.62	86.16	0.3	3.9	0.29	0.43	748.88	1138.6	1494.64	2679.6	737.76	1119.5	1476.56	1900.84	2275.57	2496.72	2864.6	4449.24	3433.81	466.88	582.16	925.1	1208.36	2496.31	3738.24	2809.02	0.35	278.66	178.88	227.35	14.82	0	0.01	0	0	0	0	0	-0.03	0.06	127.05	0.1	0.23	0.2	1.2	0.24	0.6	6.6	4.18	17.11	236.41	0.48	108.12	85.19	11.33	3
T1012	1.35	1.52	6.15	15.01	NA	544552.71	8719650.39	0	7.46	10.27	0	5.71	2.75	0.15	0.11	2.23	15.95	8.72	8.72	10.96	79.62	0	1.35	0.27	0.4	736.56	1073	1466.08	2541.84	739.71	1076.55	1471.99	1857.2	2145.83	2383.74	2782.13	4756.54	3600.49	498.77	598.58	891.92	1167.1	2418.51	3975.65	2872.82	0.35	263.62	181.06	243.22	17.21	0	0	0	0	0	0	0	-0.01	0.03	111.94	0.05	0.16	0.55	2.22	0.26	0.77	6.53	2.32	10.35	243.06	0.27	113.32	77.69	2.99	3
T1013	27.81	17.25	1.86	NA	NA	544545.17	8719516.96	0	6.82	8	0	2.14	7.65	4.22	0.07	2.23	12.82	14.08	14.08	16.31	86.3	0	25.86	0.24	0.36	856.96	1320.4	1795.36	2907.28	845.84	1304.76	1774.76	2235.63	2541.45	2752.19	3080.15	4760.24	3738.61	439.74	580.92	1031.95	1371.05	2724.49	3861.05	2921.52	0.33	254.78	174.69	211.72	-0.65	0	0	0	0	0	0	0	0.04	0.06	104.45	0.03	-0.07	0.89	0.3	1.61	0.06	8.47	3.54	1.7	177.66	0.4	81.28	38.3	31.72	2
T1014	1	1.89	2.68	NA	NA	546636.12	8717603.26	0	6.62	6.76	0	2.96	2.14	0.11	1	3.09	3.75	6.21	6.21	9.3	66.74	0	1.17	0.22	0.33	912.8	1367.84	1814.48	2844.72	900.49	1349.77	1773.93	2207.33	2481.26	2668.5	2966.2	4436.94	3487.44	552.77	722.7	1182.93	1539.18	3066.35	4076.79	3143.31	0.33	235.07	179.78	183.56	18.22	0	0	0	0	0	0	0	-0.05	0.01	93.42	0.06	0.1	0.28	2.89	0.25	0.64	10.08	0.52	9.59	212.75	0.07	73.76	92.91	5.4	4
T1015	8	5.13	2.47	18.91	NA	546534.43	8717559.62	0	6.93	10.97	0	6.12	18.25	2.04	0.95	3.95	3.75	27.36	27.36	31.32	87.38	0	6.53	0.21	0.31	1039.08	1478.08	1971.12	2993.92	1020.2	1460.39	1945.33	2363.12	2629.37	2852.43	3142.22	4829.24	3905.19	600.2	763.2	1224.76	1597.82	2970.55	4152.75	3313.59	0.3	230.66	182.54	219.32	6.88	0	0	0	0	0	0	0	0.01	0.03	90.3	0.02	-0.01	0.44	2.35	0.61	0.28	9.18	1.59	5.78	189.34	0.18	111.36	44.24	14.82	2
T1016	0.99	1.1	1.43	1.67	NA	546661.4	8717365	0	6.27	10.79	0.05	4.79	6.12	0.17	0.53	5.67	4.43	11.61	11.66	17.28	67.19	0.42	1.01	0.44	0.66	638	1009.64	1165.84	3017.76	629.4	1000.79	1158.3	1768.86	2581.61	2837.07	3169.4	3951.31	2688.34	385.22	509.69	872.67	1002.33	2953.91	3425.97	2277.58	0.49	222.22	179.34	258.97	-10.47	0	0	0	0	0	0	0	0	0	83.56	0	-0.02	0.95	0.47	4.39	0.03	11.46	0.23	1.69	174.29	0.03	24.08	27.35	65.93	2
T1017	1.61	1.61	1.62	1.63	1.65	541328.64	8715553.36	0	6.56	5.6	0.05	1.94	0.92	0.07	0.28	0.86	3.2	3.2	3.25	4.06	78.85	1.5	1.61	0.38	0.57	531.92	810.16	984.68	2203.04	532.37	815.81	992.91	1397.24	1853.23	2070.3	2361.68	3697.21	2530.39	305.39	405.91	690.35	821.04	2061.61	2964.42	2000.11	0.43	238.62	171.32	106.38	-10.41	0	0	0	0	0	0	0	0.01	0	85.92	0.04	-0.07	0.86	0.19	1.77	0.07	7.76	2.88	2.16	177.8	0.32	81	37.42	27.77	2
T1019	2.02	1.94	1.67	1.83	2.66	540806.82	8719307.36	0	5.12	4.9	0.54	1.02	0	0.08	0.07	3.09	3.14	1.17	1.71	4.27	27.52	31.35	1.94	0.39	0.59	512.52	818.64	1039.84	2372.16	511.31	816.48	1041.16	1482.19	1989.71	2222.9	2549.77	3852.81	2598.53	339.29	408.41	667.88	847.66	2179.07	3065.2	2026.42	0.44	305.25	178.36	106.6	1.42	0	0	0	0	0	0	0	0	0	133.86	0.01	-0.01	0.07	2.58	3.65	0.53	10.81	0.52	36.48	243.77	0.06	86.2	43.29	31.72	6
T1020	2.46	2.49	2.61	3.14	3.24	540985.27	8719414.9	0	5.09	6.18	0.54	0.82	0.1	0.18	0.39	5.67	1.91	1.49	2.02	7.16	20.79	26.48	2.49	0.4	0.6	508.76	824.96	1040.16	2437.52	513.53	829.64	1052.45	1504.67	2034.02	2270.15	2600.63	3813.42	2584.74	344.18	416.08	699.82	883.6	2251.51	3106.52	2055.69	0.44	304.64	179	101.08	4.7	0	0	0	0	0	0	0	0	0	134.22	0.01	0.01	0.07	2.37	4.52	0.53	11.25	0.31	32.74	243.3	0.03	47.8	72.45	28.59	6
T1021	3.07	2.95	2.52	2.02	1.84	534251.24	8723255.52	0	5.18	3.53	0.24	0.61	0	0.08	0.05	2.06	1.57	0.74	0.99	2.8	26.49	24.69	2.95	0.38	0.58	633.96	967.44	1219.96	2709.12	631.8	966.55	1217.27	1691.31	2312.98	2577.71	2879.36	3671.11	2478.06	371.89	463.71	792.44	1003.19	2610.33	3307.82	2138.14	0.44	359.1	180	25.28	-3.63	0	0	0	0	0	0	0	0	0	183.45	0	0	0.76	5.9	3.37	0.88	10.99	0.11	10.64	336.43	0.01	3	9.88	1.48	6
T1022	0.69	1.13	2.73	4.57	1.71	533190.14	8722706.21	0	5.48	9.64	0.19	2.04	0.82	0.08	0.06	3.95	3	2.99	3.19	6.95	43.11	6.11	1.13	0.36	0.54	552.72	826.92	1061.56	2235.36	550.32	825.21	1057.82	1459.9	1889.16	2100.33	2404.3	3446.21	2260.34	352.35	435.62	692.79	886.93	2175.37	3104.83	1946.58	0.42	354.04	181.33	294.21	1.14	0	0	0	0	0	0	0	0.01	0	178.43	0.01	0.01	0.07	0.83	3.43	0.53	10.88	1.12	7.28	269.63	0.12	98	56.76	6.36	6
T1023	0.99	1.27	2.31	3.84	4.78	533258.63	8722541.46	0	5.41	3.46	0.24	0.51	0.1	0.04	0.03	2.41	0.8	0.68	0.93	3.09	22.08	26.33	1.27	0.39	0.59	513.48	802.44	994.04	2283.76	515.79	799.47	991.64	1423.96	1910.27	2138.67	2445.43	3376.09	2170.13	329.88	413.02	681.93	867.3	2238.35	3039.64	1850.94	0.44	355.24	181	332.03	-4.32	0	0	0	0	0	0	0	-0.01	0	179.78	0.01	0	0.14	0.28	4.6	0.57	10.89	0.11	9.92	276.68	0.01	3	28.21	7.52	6
T1024	0.74	0.83	1.14	1.56	2.85	533452.53	8722556.04	0	5.75	5.94	0.19	1.12	0.41	0.04	0.06	3.09	1.98	1.63	1.82	4.72	34.48	10.7	0.83	0.37	0.56	608.96	927.56	1186.52	2585.28	612.96	929.91	1193.81	1656.37	2212.05	2449.35	2772.88	3594.2	2437.63	378.57	465.21	759.45	980.82	2453.02	3208.68	2056.08	0.43	356.08	181	270.71	-2.18	0	0	0	0	0	0	0	0	0	180.67	0.01	-0.02	0.14	0.84	3.81	0.57	10.24	0.5	7.79	277.15	0.06	54	40.3	5.91	6
T1025	1.82	1.84	1.9	1.57	2.01	531440.97	8721118.96	0	5.77	4.41	0.15	0.92	0	0.06	0.04	2.06	1.16	1.02	1.16	3.08	33.05	12.56	1.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
